ITEM t_6898 [78 b; 0 s]
ITEM t_5500 [78 b; 0 s]
ITEM t_5499 [78 b; 0 s]
ITEM t_5498 [78 b; 0 s]
ITEM t_5497 [78 b; 0 s]
ITEM t_5496 [78 b; 0 s]
ITEM t_5495 [78 b; 0 s]
ITEM t_5494 [78 b; 0 s]
ITEM t_5493 [78 b; 0 s]
ITEM t_5492 [78 b; 0 s]
ITEM t_5491 [78 b; 0 s]
ITEM t_5490 [78 b; 0 s]
ITEM t_5489 [78 b; 0 s]
ITEM t_5488 [78 b; 0 s]
ITEM t_5487 [78 b; 0 s]
ITEM t_5486 [78 b; 0 s]
ITEM t_5485 [78 b; 0 s]
ITEM t_5484 [78 b; 0 s]
ITEM t_5483 [78 b; 0 s]
ITEM t_5482 [78 b; 0 s]
ITEM t_5481 [78 b; 0 s]
ITEM t_5480 [78 b; 0 s]
ITEM t_5479 [78 b; 0 s]
ITEM t_5478 [78 b; 0 s]
ITEM t_5477 [78 b; 0 s]
ITEM t_5476 [78 b; 0 s]
ITEM t_5475 [78 b; 0 s]
ITEM t_5474 [78 b; 0 s]
ITEM t_5473 [78 b; 0 s]
ITEM t_5472 [78 b; 0 s]
ITEM t_5471 [78 b; 0 s]
ITEM t_5470 [78 b; 0 s]
ITEM t_5469 [78 b; 0 s]
ITEM t_5468 [78 b; 0 s]
ITEM t_5467 [78 b; 0 s]
ITEM t_5466 [78 b; 0 s]
ITEM t_5465 [78 b; 0 s]
ITEM t_5464 [78 b; 0 s]
ITEM t_5463 [78 b; 0 s]
ITEM t_5462 [78 b; 0 s]
ITEM t_5461 [78 b; 0 s]
ITEM t_5460 [78 b; 0 s]
ITEM t_5459 [78 b; 0 s]
ITEM t_5458 [78 b; 0 s]
ITEM t_5457 [78 b; 0 s]
ITEM t_5456 [78 b; 0 s]
ITEM t_5455 [78 b; 0 s]
ITEM t_5454 [78 b; 0 s]
ITEM t_5453 [78 b; 0 s]
ITEM t_5452 [78 b; 0 s]
ITEM t_5451 [78 b; 0 s]
ITEM t_5450 [78 b; 0 s]
ITEM t_5449 [78 b; 0 s]
ITEM t_5448 [78 b; 0 s]
ITEM t_5447 [78 b; 0 s]
ITEM t_5446 [78 b; 0 s]
ITEM t_5445 [78 b; 0 s]
ITEM t_5444 [78 b; 0 s]
ITEM t_5443 [78 b; 0 s]
ITEM t_5442 [78 b; 0 s]
ITEM t_5441 [78 b; 0 s]
ITEM t_5440 [78 b; 0 s]
ITEM t_5439 [78 b; 0 s]
ITEM t_5438 [78 b; 0 s]
ITEM t_5437 [78 b; 0 s]
ITEM t_5436 [78 b; 0 s]
ITEM t_5435 [78 b; 0 s]
ITEM t_5434 [78 b; 0 s]
ITEM t_5433 [78 b; 0 s]
ITEM t_5432 [78 b; 0 s]
ITEM t_5431 [78 b; 0 s]
ITEM t_5430 [78 b; 0 s]
ITEM t_5429 [78 b; 0 s]
ITEM t_5428 [78 b; 0 s]
ITEM t_5427 [78 b; 0 s]
ITEM t_5426 [78 b; 0 s]
ITEM t_5425 [78 b; 0 s]
ITEM t_5424 [78 b; 0 s]
ITEM t_5423 [78 b; 0 s]
ITEM t_5422 [78 b; 0 s]
ITEM t_5421 [78 b; 0 s]
ITEM t_5420 [78 b; 0 s]
ITEM t_5419 [78 b; 0 s]
ITEM t_5418 [78 b; 0 s]
ITEM t_5417 [78 b; 0 s]
ITEM t_5416 [78 b; 0 s]
ITEM t_5415 [78 b; 0 s]
ITEM t_5414 [78 b; 0 s]
ITEM t_5413 [78 b; 0 s]
ITEM t_5412 [78 b; 0 s]
ITEM t_5411 [78 b; 0 s]
ITEM t_5410 [78 b; 0 s]
ITEM t_5409 [78 b; 0 s]
ITEM t_5408 [78 b; 0 s]
ITEM t_5407 [78 b; 0 s]
ITEM t_5406 [78 b; 0 s]
ITEM t_5405 [78 b; 0 s]
ITEM t_5404 [78 b; 0 s]
ITEM t_5403 [78 b; 0 s]
ITEM t_5402 [78 b; 0 s]
ITEM t_5401 [78 b; 0 s]
ITEM t_5400 [78 b; 0 s]
ITEM t_5399 [78 b; 0 s]
ITEM t_5398 [78 b; 0 s]
ITEM t_5397 [78 b; 0 s]
ITEM t_5396 [78 b; 0 s]
ITEM t_5395 [78 b; 0 s]
ITEM t_5394 [78 b; 0 s]
ITEM t_5393 [78 b; 0 s]
ITEM t_5392 [78 b; 0 s]
ITEM t_5391 [78 b; 0 s]
ITEM t_5390 [78 b; 0 s]
ITEM t_5389 [78 b; 0 s]
ITEM t_5388 [78 b; 0 s]
ITEM t_5387 [78 b; 0 s]
ITEM t_5386 [78 b; 0 s]
ITEM t_5385 [78 b; 0 s]
ITEM t_5384 [78 b; 0 s]
ITEM t_5383 [78 b; 0 s]
ITEM t_5382 [78 b; 0 s]
ITEM t_5381 [78 b; 0 s]
ITEM t_5380 [78 b; 0 s]
ITEM t_5379 [78 b; 0 s]
ITEM t_5378 [78 b; 0 s]
ITEM t_5377 [78 b; 0 s]
ITEM t_5376 [78 b; 0 s]
ITEM t_5375 [78 b; 0 s]
ITEM t_5374 [78 b; 0 s]
ITEM t_5373 [78 b; 0 s]
ITEM t_5372 [78 b; 0 s]
ITEM t_5371 [78 b; 0 s]
ITEM t_5370 [78 b; 0 s]
ITEM t_5369 [78 b; 0 s]
ITEM t_5368 [78 b; 0 s]
ITEM t_5367 [78 b; 0 s]
ITEM t_5366 [78 b; 0 s]
ITEM t_5365 [78 b; 0 s]
ITEM t_5364 [78 b; 0 s]
ITEM t_5363 [78 b; 0 s]
ITEM t_5362 [78 b; 0 s]
ITEM t_5361 [78 b; 0 s]
ITEM t_5360 [78 b; 0 s]
ITEM t_5359 [78 b; 0 s]
ITEM t_5358 [78 b; 0 s]
ITEM t_5357 [78 b; 0 s]
ITEM t_5356 [78 b; 0 s]
ITEM t_5355 [78 b; 0 s]
ITEM t_5354 [78 b; 0 s]
ITEM t_5353 [78 b; 0 s]
ITEM t_5352 [78 b; 0 s]
ITEM t_5351 [78 b; 0 s]
ITEM t_5350 [78 b; 0 s]
ITEM t_5349 [78 b; 0 s]
ITEM t_5348 [78 b; 0 s]
ITEM t_5347 [78 b; 0 s]
ITEM t_5346 [78 b; 0 s]
ITEM t_5345 [78 b; 0 s]
ITEM t_5344 [78 b; 0 s]
ITEM t_5343 [78 b; 0 s]
ITEM t_5342 [78 b; 0 s]
ITEM t_5341 [78 b; 0 s]
ITEM t_5340 [78 b; 0 s]
ITEM t_5339 [78 b; 0 s]
ITEM t_5338 [78 b; 0 s]
ITEM t_5337 [78 b; 0 s]
ITEM t_5336 [78 b; 0 s]
ITEM t_5335 [78 b; 0 s]
ITEM t_5334 [78 b; 0 s]
ITEM t_5333 [78 b; 0 s]
ITEM t_5332 [78 b; 0 s]
ITEM t_5331 [78 b; 0 s]
ITEM t_5330 [78 b; 0 s]
ITEM t_5329 [78 b; 0 s]
ITEM t_5328 [78 b; 0 s]
ITEM t_5327 [78 b; 0 s]
ITEM t_5326 [78 b; 0 s]
ITEM t_5325 [78 b; 0 s]
ITEM t_5324 [78 b; 0 s]
ITEM t_5323 [78 b; 0 s]
ITEM t_5322 [78 b; 0 s]
ITEM t_5321 [78 b; 0 s]
ITEM t_5320 [78 b; 0 s]
ITEM t_5319 [78 b; 0 s]
ITEM t_5318 [78 b; 0 s]
ITEM t_5317 [78 b; 0 s]
ITEM t_5316 [78 b; 0 s]
ITEM t_5315 [78 b; 0 s]
ITEM t_5314 [78 b; 0 s]
ITEM t_5313 [78 b; 0 s]
ITEM t_5312 [78 b; 0 s]
ITEM t_5311 [78 b; 0 s]
ITEM t_5310 [78 b; 0 s]
ITEM t_5309 [78 b; 0 s]
ITEM t_5308 [78 b; 0 s]
ITEM t_5307 [78 b; 0 s]
ITEM t_5306 [78 b; 0 s]
ITEM t_5305 [78 b; 0 s]
ITEM t_5304 [78 b; 0 s]
ITEM t_5303 [78 b; 0 s]
ITEM t_5302 [78 b; 0 s]
ITEM t_5301 [78 b; 0 s]
ITEM t_5300 [78 b; 0 s]
ITEM t_5299 [78 b; 0 s]
ITEM t_5298 [78 b; 0 s]
ITEM t_5297 [78 b; 0 s]
ITEM t_5296 [78 b; 0 s]
ITEM t_5295 [78 b; 0 s]
ITEM t_5294 [78 b; 0 s]
ITEM t_5293 [78 b; 0 s]
ITEM t_5292 [78 b; 0 s]
ITEM t_5291 [78 b; 0 s]
ITEM t_5290 [78 b; 0 s]
ITEM t_5289 [78 b; 0 s]
ITEM t_5288 [78 b; 0 s]
ITEM t_5287 [78 b; 0 s]
ITEM t_5286 [78 b; 0 s]
ITEM t_5285 [78 b; 0 s]
ITEM t_5284 [78 b; 0 s]
ITEM t_5283 [78 b; 0 s]
ITEM t_5282 [78 b; 0 s]
ITEM t_5281 [78 b; 0 s]
ITEM t_5280 [78 b; 0 s]
ITEM t_5279 [78 b; 0 s]
ITEM t_5278 [78 b; 0 s]
ITEM t_5277 [78 b; 0 s]
ITEM t_5276 [78 b; 0 s]
ITEM t_5275 [78 b; 0 s]
ITEM t_5274 [78 b; 0 s]
ITEM t_5273 [78 b; 0 s]
ITEM t_5272 [78 b; 0 s]
ITEM t_5271 [78 b; 0 s]
ITEM t_5270 [78 b; 0 s]
ITEM t_5269 [78 b; 0 s]
ITEM t_5268 [78 b; 0 s]
ITEM t_5267 [78 b; 0 s]
ITEM t_5266 [78 b; 0 s]
ITEM t_5265 [78 b; 0 s]
ITEM t_5264 [78 b; 0 s]
ITEM t_5263 [78 b; 0 s]
ITEM t_5262 [78 b; 0 s]
ITEM t_5261 [78 b; 0 s]
ITEM t_5260 [78 b; 0 s]
ITEM t_5259 [78 b; 0 s]
ITEM t_5258 [78 b; 0 s]
ITEM t_5257 [78 b; 0 s]
ITEM t_5256 [78 b; 0 s]
ITEM t_5255 [78 b; 0 s]
ITEM t_5254 [78 b; 0 s]
ITEM t_5253 [78 b; 0 s]
ITEM t_5252 [78 b; 0 s]
ITEM t_5251 [78 b; 0 s]
ITEM t_5250 [78 b; 0 s]
ITEM t_5249 [78 b; 0 s]
ITEM t_5248 [78 b; 0 s]
ITEM t_5247 [78 b; 0 s]
ITEM t_5246 [78 b; 0 s]
ITEM t_5245 [78 b; 0 s]
ITEM t_5244 [78 b; 0 s]
ITEM t_5243 [78 b; 0 s]
ITEM t_5242 [78 b; 0 s]
ITEM t_5241 [78 b; 0 s]
ITEM t_5240 [78 b; 0 s]
ITEM t_5239 [78 b; 0 s]
ITEM t_5238 [78 b; 0 s]
ITEM t_5237 [78 b; 0 s]
ITEM t_5236 [78 b; 0 s]
ITEM t_5235 [78 b; 0 s]
ITEM t_5234 [78 b; 0 s]
ITEM t_5233 [78 b; 0 s]
ITEM t_5232 [78 b; 0 s]
ITEM t_5231 [78 b; 0 s]
ITEM t_5230 [78 b; 0 s]
ITEM t_5229 [78 b; 0 s]
ITEM t_5228 [78 b; 0 s]
ITEM t_5227 [78 b; 0 s]
ITEM t_5226 [78 b; 0 s]
ITEM t_5225 [78 b; 0 s]
ITEM t_5224 [78 b; 0 s]
ITEM t_5223 [78 b; 0 s]
ITEM t_5222 [78 b; 0 s]
ITEM t_5221 [78 b; 0 s]
ITEM t_5220 [78 b; 0 s]
ITEM t_5219 [78 b; 0 s]
ITEM t_5218 [78 b; 0 s]
ITEM t_5217 [78 b; 0 s]
ITEM t_5216 [78 b; 0 s]
ITEM t_5215 [78 b; 0 s]
ITEM t_5214 [78 b; 0 s]
ITEM t_5213 [78 b; 0 s]
ITEM t_5212 [78 b; 0 s]
ITEM t_5211 [78 b; 0 s]
ITEM t_5210 [78 b; 0 s]
ITEM t_5209 [78 b; 0 s]
ITEM t_5208 [78 b; 0 s]
ITEM t_5207 [78 b; 0 s]
ITEM t_5206 [78 b; 0 s]
ITEM t_5205 [78 b; 0 s]
ITEM t_5204 [78 b; 0 s]
ITEM t_5203 [78 b; 0 s]
ITEM t_5202 [78 b; 0 s]
ITEM t_5201 [78 b; 0 s]
ITEM t_5200 [78 b; 0 s]
ITEM t_5199 [78 b; 0 s]
ITEM t_5198 [78 b; 0 s]
ITEM t_5197 [78 b; 0 s]
ITEM t_5196 [78 b; 0 s]
ITEM t_5195 [78 b; 0 s]
ITEM t_5194 [78 b; 0 s]
ITEM t_5193 [78 b; 0 s]
ITEM t_5192 [78 b; 0 s]
ITEM t_5191 [78 b; 0 s]
ITEM t_5190 [78 b; 0 s]
ITEM t_5189 [78 b; 0 s]
ITEM t_5188 [78 b; 0 s]
ITEM t_5187 [78 b; 0 s]
ITEM t_5186 [78 b; 0 s]
ITEM t_5185 [78 b; 0 s]
ITEM t_5184 [78 b; 0 s]
ITEM t_5183 [78 b; 0 s]
ITEM t_5182 [78 b; 0 s]
ITEM t_5181 [78 b; 0 s]
ITEM t_5180 [78 b; 0 s]
ITEM t_5179 [78 b; 0 s]
ITEM t_5178 [78 b; 0 s]
ITEM t_5177 [78 b; 0 s]
ITEM t_5176 [78 b; 0 s]
ITEM t_5175 [78 b; 0 s]
ITEM t_5174 [78 b; 0 s]
ITEM t_5173 [78 b; 0 s]
ITEM t_5172 [78 b; 0 s]
ITEM t_5171 [78 b; 0 s]
ITEM t_5170 [78 b; 0 s]
ITEM t_5169 [78 b; 0 s]
ITEM t_5168 [78 b; 0 s]
ITEM t_5167 [78 b; 0 s]
ITEM t_5166 [78 b; 0 s]
ITEM t_5165 [78 b; 0 s]
ITEM t_5164 [78 b; 0 s]
ITEM t_5163 [78 b; 0 s]
ITEM t_5162 [78 b; 0 s]
ITEM t_5161 [78 b; 0 s]
ITEM t_5160 [78 b; 0 s]
ITEM t_5159 [78 b; 0 s]
ITEM t_5158 [78 b; 0 s]
ITEM t_5157 [78 b; 0 s]
ITEM t_5156 [78 b; 0 s]
ITEM t_5155 [78 b; 0 s]
ITEM t_5154 [78 b; 0 s]
ITEM t_5153 [78 b; 0 s]
ITEM t_5152 [78 b; 0 s]
ITEM t_5151 [78 b; 0 s]
ITEM t_5150 [78 b; 0 s]
ITEM t_5149 [78 b; 0 s]
ITEM t_5148 [78 b; 0 s]
ITEM t_5147 [78 b; 0 s]
ITEM t_5146 [78 b; 0 s]
ITEM t_5145 [78 b; 0 s]
ITEM t_5144 [78 b; 0 s]
ITEM t_5143 [78 b; 0 s]
ITEM t_5142 [78 b; 0 s]
ITEM t_5141 [78 b; 0 s]
ITEM t_5140 [78 b; 0 s]
ITEM t_5139 [78 b; 0 s]
ITEM t_5138 [78 b; 0 s]
ITEM t_5137 [78 b; 0 s]
ITEM t_5136 [78 b; 0 s]
ITEM t_5135 [78 b; 0 s]
ITEM t_5134 [78 b; 0 s]
ITEM t_5133 [78 b; 0 s]
ITEM t_5132 [78 b; 0 s]
ITEM t_5131 [78 b; 0 s]
ITEM t_5130 [78 b; 0 s]
ITEM t_5129 [78 b; 0 s]
ITEM t_5128 [78 b; 0 s]
ITEM t_5127 [78 b; 0 s]
ITEM t_5126 [78 b; 0 s]
ITEM t_5125 [78 b; 0 s]
ITEM t_5124 [78 b; 0 s]
ITEM t_5123 [78 b; 0 s]
ITEM t_5122 [78 b; 0 s]
ITEM t_5121 [78 b; 0 s]
ITEM t_5120 [78 b; 0 s]
ITEM t_5119 [78 b; 0 s]
ITEM t_5118 [78 b; 0 s]
ITEM t_5117 [78 b; 0 s]
ITEM t_5116 [78 b; 0 s]
ITEM t_5115 [78 b; 0 s]
ITEM t_5114 [78 b; 0 s]
ITEM t_5113 [78 b; 0 s]
ITEM t_5112 [78 b; 0 s]
ITEM t_5111 [78 b; 0 s]
ITEM t_5110 [78 b; 0 s]
ITEM t_5109 [78 b; 0 s]
ITEM t_5108 [78 b; 0 s]
ITEM t_5107 [78 b; 0 s]
ITEM t_5106 [78 b; 0 s]
ITEM t_5105 [78 b; 0 s]
ITEM t_5104 [78 b; 0 s]
ITEM t_5103 [78 b; 0 s]
ITEM t_5102 [78 b; 0 s]
ITEM t_5101 [78 b; 0 s]
ITEM t_5100 [78 b; 0 s]
ITEM t_5099 [78 b; 0 s]
ITEM t_5098 [78 b; 0 s]
ITEM t_5097 [78 b; 0 s]
ITEM t_5096 [78 b; 0 s]
ITEM t_5095 [78 b; 0 s]
ITEM t_5094 [78 b; 0 s]
ITEM t_5093 [78 b; 0 s]
ITEM t_5092 [78 b; 0 s]
ITEM t_5091 [78 b; 0 s]
ITEM t_5090 [78 b; 0 s]
ITEM t_5089 [78 b; 0 s]
ITEM t_5088 [78 b; 0 s]
ITEM t_5087 [78 b; 0 s]
ITEM t_5086 [78 b; 0 s]
ITEM t_5085 [78 b; 0 s]
ITEM t_5084 [78 b; 0 s]
ITEM t_5083 [78 b; 0 s]
ITEM t_5082 [78 b; 0 s]
ITEM t_5081 [78 b; 0 s]
ITEM t_5080 [78 b; 0 s]
ITEM t_5079 [78 b; 0 s]
ITEM t_5078 [78 b; 0 s]
ITEM t_5077 [78 b; 0 s]
ITEM t_5076 [78 b; 0 s]
ITEM t_5075 [78 b; 0 s]
ITEM t_5074 [78 b; 0 s]
ITEM t_5073 [78 b; 0 s]
ITEM t_5072 [78 b; 0 s]
ITEM t_5071 [78 b; 0 s]
ITEM t_5070 [78 b; 0 s]
ITEM t_5069 [78 b; 0 s]
ITEM t_5068 [78 b; 0 s]
ITEM t_5067 [78 b; 0 s]
ITEM t_5066 [78 b; 0 s]
ITEM t_5065 [78 b; 0 s]
ITEM t_5064 [78 b; 0 s]
ITEM t_5063 [78 b; 0 s]
ITEM t_5062 [78 b; 0 s]
ITEM t_5061 [78 b; 0 s]
ITEM t_5060 [78 b; 0 s]
ITEM t_5059 [78 b; 0 s]
ITEM t_5058 [78 b; 0 s]
ITEM t_5057 [78 b; 0 s]
ITEM t_5056 [78 b; 0 s]
ITEM t_5055 [78 b; 0 s]
ITEM t_5054 [78 b; 0 s]
ITEM t_5053 [78 b; 0 s]
ITEM t_5052 [78 b; 0 s]
ITEM t_5051 [78 b; 0 s]
ITEM t_5050 [78 b; 0 s]
ITEM t_5049 [78 b; 0 s]
ITEM t_5048 [78 b; 0 s]
ITEM t_5047 [78 b; 0 s]
ITEM t_5046 [78 b; 0 s]
ITEM t_5045 [78 b; 0 s]
ITEM t_5044 [78 b; 0 s]
ITEM t_5043 [78 b; 0 s]
ITEM t_5042 [78 b; 0 s]
ITEM t_5041 [78 b; 0 s]
ITEM t_5040 [78 b; 0 s]
ITEM t_5039 [78 b; 0 s]
ITEM t_5038 [78 b; 0 s]
ITEM t_5037 [78 b; 0 s]
ITEM t_5036 [78 b; 0 s]
ITEM t_5035 [78 b; 0 s]
ITEM t_5034 [78 b; 0 s]
ITEM t_5033 [78 b; 0 s]
ITEM t_5032 [78 b; 0 s]
ITEM t_5031 [78 b; 0 s]
ITEM t_5030 [78 b; 0 s]
ITEM t_5029 [78 b; 0 s]
ITEM t_5028 [78 b; 0 s]
ITEM t_5027 [78 b; 0 s]
ITEM t_5026 [78 b; 0 s]
ITEM t_5025 [78 b; 0 s]
ITEM t_5024 [78 b; 0 s]
ITEM t_5023 [78 b; 0 s]
ITEM t_5022 [78 b; 0 s]
ITEM t_5021 [78 b; 0 s]
ITEM t_5020 [78 b; 0 s]
ITEM t_5019 [78 b; 0 s]
ITEM t_5018 [78 b; 0 s]
ITEM t_5017 [78 b; 0 s]
ITEM t_5016 [78 b; 0 s]
ITEM t_5015 [78 b; 0 s]
ITEM t_5014 [78 b; 0 s]
ITEM t_5013 [78 b; 0 s]
ITEM t_5012 [78 b; 0 s]
ITEM t_5011 [78 b; 0 s]
ITEM t_5010 [78 b; 0 s]
ITEM t_5009 [78 b; 0 s]
ITEM t_5008 [78 b; 0 s]
ITEM t_5007 [78 b; 0 s]
ITEM t_5006 [78 b; 0 s]
ITEM t_5005 [78 b; 0 s]
ITEM t_5004 [78 b; 0 s]
ITEM t_5003 [78 b; 0 s]
ITEM t_5002 [78 b; 0 s]
ITEM t_5001 [78 b; 0 s]
ITEM t_5000 [78 b; 0 s]
ITEM t_4999 [78 b; 0 s]
ITEM t_4998 [78 b; 0 s]
ITEM t_4997 [78 b; 0 s]
ITEM t_4996 [78 b; 0 s]
ITEM t_4995 [78 b; 0 s]
ITEM t_4994 [78 b; 0 s]
ITEM t_4993 [78 b; 0 s]
ITEM t_4992 [78 b; 0 s]
ITEM t_4991 [78 b; 0 s]
ITEM t_4990 [78 b; 0 s]
ITEM t_4989 [78 b; 0 s]
ITEM t_4988 [78 b; 0 s]
ITEM t_4987 [78 b; 0 s]
ITEM t_4986 [78 b; 0 s]
ITEM t_4985 [78 b; 0 s]
ITEM t_4984 [78 b; 0 s]
ITEM t_4983 [78 b; 0 s]
ITEM t_4982 [78 b; 0 s]
ITEM t_4981 [78 b; 0 s]
ITEM t_4980 [78 b; 0 s]
ITEM t_4979 [78 b; 0 s]
ITEM t_4978 [78 b; 0 s]
ITEM t_4977 [78 b; 0 s]
ITEM t_4976 [78 b; 0 s]
ITEM t_4975 [78 b; 0 s]
ITEM t_4974 [78 b; 0 s]
ITEM t_4973 [78 b; 0 s]
ITEM t_4972 [78 b; 0 s]
ITEM t_4971 [78 b; 0 s]
ITEM t_4970 [78 b; 0 s]
ITEM t_4969 [78 b; 0 s]
ITEM t_4968 [78 b; 0 s]
ITEM t_4967 [78 b; 0 s]
ITEM t_4966 [78 b; 0 s]
ITEM t_4965 [78 b; 0 s]
ITEM t_4964 [78 b; 0 s]
ITEM t_4963 [78 b; 0 s]
ITEM t_4962 [78 b; 0 s]
ITEM t_4961 [78 b; 0 s]
ITEM t_4960 [78 b; 0 s]
ITEM t_4959 [78 b; 0 s]
ITEM t_4958 [78 b; 0 s]
ITEM t_4957 [78 b; 0 s]
ITEM t_4956 [78 b; 0 s]
ITEM t_4955 [78 b; 0 s]
ITEM t_4954 [78 b; 0 s]
ITEM t_4953 [78 b; 0 s]
ITEM t_4952 [78 b; 0 s]
ITEM t_4951 [78 b; 0 s]
ITEM t_4950 [78 b; 0 s]
ITEM t_4949 [78 b; 0 s]
ITEM t_4948 [78 b; 0 s]
ITEM t_4947 [78 b; 0 s]
ITEM t_4946 [78 b; 0 s]
ITEM t_4945 [78 b; 0 s]
ITEM t_4944 [78 b; 0 s]
ITEM t_4943 [78 b; 0 s]
ITEM t_4942 [78 b; 0 s]
ITEM t_4941 [78 b; 0 s]
ITEM t_4940 [78 b; 0 s]
ITEM t_4939 [78 b; 0 s]
ITEM t_4938 [78 b; 0 s]
ITEM t_4937 [78 b; 0 s]
ITEM t_4936 [78 b; 0 s]
ITEM t_4935 [78 b; 0 s]
ITEM t_4934 [78 b; 0 s]
ITEM t_4933 [78 b; 0 s]
ITEM t_4932 [78 b; 0 s]
ITEM t_4931 [78 b; 0 s]
ITEM t_4930 [78 b; 0 s]
ITEM t_4929 [78 b; 0 s]
ITEM t_4928 [78 b; 0 s]
ITEM t_4927 [78 b; 0 s]
ITEM t_4926 [78 b; 0 s]
ITEM t_4925 [78 b; 0 s]
ITEM t_4924 [78 b; 0 s]
ITEM t_4923 [78 b; 0 s]
ITEM t_4922 [78 b; 0 s]
ITEM t_4921 [78 b; 0 s]
ITEM t_4920 [78 b; 0 s]
ITEM t_4919 [78 b; 0 s]
ITEM t_4918 [78 b; 0 s]
ITEM t_4917 [78 b; 0 s]
ITEM t_4916 [78 b; 0 s]
ITEM t_4915 [78 b; 0 s]
ITEM t_4914 [78 b; 0 s]
ITEM t_4913 [78 b; 0 s]
ITEM t_4912 [78 b; 0 s]
ITEM t_4911 [78 b; 0 s]
ITEM t_4910 [78 b; 0 s]
ITEM t_4909 [78 b; 0 s]
ITEM t_4908 [78 b; 0 s]
ITEM t_4907 [78 b; 0 s]
ITEM t_4906 [78 b; 0 s]
ITEM t_4905 [78 b; 0 s]
ITEM t_4904 [78 b; 0 s]
ITEM t_4903 [78 b; 0 s]
ITEM t_4902 [78 b; 0 s]
ITEM t_4901 [78 b; 0 s]
ITEM t_4900 [78 b; 0 s]
ITEM t_4899 [78 b; 0 s]
ITEM t_4898 [78 b; 0 s]
ITEM t_4897 [78 b; 0 s]
ITEM t_4896 [78 b; 0 s]
ITEM t_4895 [78 b; 0 s]
ITEM t_4894 [78 b; 0 s]
ITEM t_4893 [78 b; 0 s]
ITEM t_4892 [78 b; 0 s]
ITEM t_4891 [78 b; 0 s]
ITEM t_4890 [78 b; 0 s]
ITEM t_4889 [78 b; 0 s]
ITEM t_4888 [78 b; 0 s]
ITEM t_4887 [78 b; 0 s]
ITEM t_4886 [78 b; 0 s]
ITEM t_4885 [78 b; 0 s]
ITEM t_4884 [78 b; 0 s]
ITEM t_4883 [78 b; 0 s]
ITEM t_4882 [78 b; 0 s]
ITEM t_4881 [78 b; 0 s]
ITEM t_4880 [78 b; 0 s]
ITEM t_4879 [78 b; 0 s]
ITEM t_4878 [78 b; 0 s]
ITEM t_4877 [78 b; 0 s]
ITEM t_4876 [78 b; 0 s]
ITEM t_4875 [78 b; 0 s]
ITEM t_4874 [78 b; 0 s]
ITEM t_4873 [78 b; 0 s]
ITEM t_4872 [78 b; 0 s]
ITEM t_4871 [78 b; 0 s]
ITEM t_4870 [78 b; 0 s]
ITEM t_4869 [78 b; 0 s]
ITEM t_4868 [78 b; 0 s]
ITEM t_4867 [78 b; 0 s]
ITEM t_4866 [78 b; 0 s]
ITEM t_4865 [78 b; 0 s]
ITEM t_4864 [78 b; 0 s]
ITEM t_4863 [78 b; 0 s]
ITEM t_4862 [78 b; 0 s]
ITEM t_4861 [78 b; 0 s]
ITEM t_4860 [78 b; 0 s]
ITEM t_4859 [78 b; 0 s]
ITEM t_4858 [78 b; 0 s]
ITEM t_4857 [78 b; 0 s]
ITEM t_4856 [78 b; 0 s]
ITEM t_4855 [78 b; 0 s]
ITEM t_4854 [78 b; 0 s]
ITEM t_4853 [78 b; 0 s]
ITEM t_4852 [78 b; 0 s]
ITEM t_4851 [78 b; 0 s]
ITEM t_4850 [78 b; 0 s]
ITEM t_4849 [78 b; 0 s]
ITEM t_4848 [78 b; 0 s]
ITEM t_4847 [78 b; 0 s]
ITEM t_4846 [78 b; 0 s]
ITEM t_4845 [78 b; 0 s]
ITEM t_4844 [78 b; 0 s]
ITEM t_4843 [78 b; 0 s]
ITEM t_4842 [78 b; 0 s]
ITEM t_4841 [78 b; 0 s]
ITEM t_4840 [78 b; 0 s]
ITEM t_4839 [78 b; 0 s]
ITEM t_4838 [78 b; 0 s]
ITEM t_4837 [78 b; 0 s]
ITEM t_4836 [78 b; 0 s]
ITEM t_4835 [78 b; 0 s]
ITEM t_4834 [78 b; 0 s]
ITEM t_4833 [78 b; 0 s]
ITEM t_4832 [78 b; 0 s]
ITEM t_4831 [78 b; 0 s]
ITEM t_4830 [78 b; 0 s]
ITEM t_4829 [78 b; 0 s]
ITEM t_4828 [78 b; 0 s]
ITEM t_4827 [78 b; 0 s]
ITEM t_4826 [78 b; 0 s]
ITEM t_4825 [78 b; 0 s]
ITEM t_4824 [78 b; 0 s]
ITEM t_4823 [78 b; 0 s]
ITEM t_4822 [78 b; 0 s]
ITEM t_4821 [78 b; 0 s]
ITEM t_4820 [78 b; 0 s]
ITEM t_4819 [78 b; 0 s]
ITEM t_4818 [78 b; 0 s]
ITEM t_4817 [78 b; 0 s]
ITEM t_4816 [78 b; 0 s]
ITEM t_4815 [78 b; 0 s]
ITEM t_4814 [78 b; 0 s]
ITEM t_4813 [78 b; 0 s]
ITEM t_4812 [78 b; 0 s]
ITEM t_4811 [78 b; 0 s]
ITEM t_4810 [78 b; 0 s]
ITEM t_4809 [78 b; 0 s]
ITEM t_4808 [78 b; 0 s]
ITEM t_4807 [78 b; 0 s]
ITEM t_4806 [78 b; 0 s]
ITEM t_4805 [78 b; 0 s]
ITEM t_4804 [78 b; 0 s]
ITEM t_4803 [78 b; 0 s]
ITEM t_4802 [78 b; 0 s]
